dates,RMSE
3/10 10:00,12.5189208984375
3/10 11:00,27.338218688964844
3/10 12:00,13.457984924316406
3/10 13:00,9.194908142089844
3/10 14:00,6.94134521484375
3/10 15:00,4.367988586425781
3/10 16:00,9.976070404052734
3/10 17:00,7.820159912109375
3/10 18:00,8.825897216796875
3/10 19:00,10.592384338378906
3/10 20:00,17.702495574951172
3/10 21:00,10.103240966796875
3/10 22:00,16.837902069091797
3/10 23:00,23.466880798339844
3/11 0:00,13.808670043945312
3/11 1:00,59.598243713378906
3/11 2:00,87.01876831054688
3/11 3:00,30.35919189453125
3/11 4:00,34.297210693359375
3/11 5:00,25.427566528320312
3/11 6:00,12.846908569335938
3/11 7:00,32.78819274902344
3/11 8:00,41.9189453125
3/11 9:00,12.204940795898438
3/11 10:00,18.808990478515625
3/11 11:00,33.639808654785156
3/11 12:00,24.765525817871094
3/11 13:00,18.516830444335938
3/11 14:00,16.66930389404297
3/11 15:00,11.039215087890625
3/11 16:00,16.806629180908203
3/11 17:00,12.389236450195312
3/11 18:00,15.767921447753906
3/11 19:00,18.35495376586914
3/11 20:00,19.50524139404297
3/11 21:00,9.72589111328125
3/11 22:00,22.53040313720703
3/11 23:00,26.785781860351562
3/12 0:00,11.752151489257812
3/12 1:00,57.12891387939453
3/12 2:00,88.47886657714844
3/12 3:00,44.5870361328125
3/12 4:00,40.575958251953125
3/12 5:00,41.1356201171875
3/12 6:00,57.9351806640625
3/12 7:00,61.0880126953125
3/12 8:00,39.14692687988281
3/12 9:00,40.732940673828125
3/12 10:00,42.2103271484375
3/12 11:00,48.255462646484375
3/12 12:00,42.943382263183594
3/12 13:00,15.067680358886719
3/12 14:00,20.14777374267578
3/12 15:00,8.124961853027344
3/12 16:00,16.95764923095703
3/12 17:00,13.633293151855469
3/12 18:00,12.258598327636719
3/12 19:00,13.486957550048828
3/12 20:00,19.991180419921875
3/12 21:00,22.470672607421875
3/12 22:00,32.073822021484375
3/12 23:00,19.701332092285156
3/13 0:00,26.239547729492188
